"","EVTYPE","CropDamage","PropertyDamage","TOTAL","EconomicDamage"
"14","Flood",10856344050,150247521350,161103865400,161103865400
"34","Tornado",414961310,56993098180,57408059490,57408059490
"4","Coastal flood",911000,48398656060,48399567060,48399567060
"18","Hail",3114212850,17619991220,20734204070,20734204070
"13","Flash flood",1532197150,16907927610,18440124760,18440124760
"8","Drought",13972566000,1046106000,15018672000,15018672000
"23","Ice storm",5022113500,3961199810,8983313310,8983313310
"40","Wildfire",403281630,8496628500,8899910130,8899910130
"36","Tropical storm",694896000,7714390550,8409286550,8409286550
"25","Lightning",584315440,6647716320,7232031760,7232031760
